Geneid,MGT_1,MGT_2,MGT_siAJSZ_1,MGT_siAJSZ_2
A1BG,778,769,863,638
A1BG-AS1,79,105,131,99
A1CF,1,0,0,6
A2M,2709,2971,4949,4360
A2M-AS1,5,5,17,14
A2ML1,0,7,13,6
A2MP1,0,2,2,6
A3GALT2,16,12,11,13
A4GALT,986,990,822,716
A4GNT,14,16,15,10
AA06,0,0,0,0
AAAS,1253,1250,1155,1039
AACS,1259,1288,1002,841
AACSP1,10,5,7,13
AADAC,0,2,0,4
AADACL2,0,0,0,0
AADACL2-AS1,2,0,6,2
AADACL3,0,1,2,0
AADACL4,20,17,23,11
AADACP1,0,0,0,0
AADAT,458,445,385,353
AAED1,454,544,467,364
AAGAB,909,1055,1155,1063
AAK1,3185,4057,3105,2551
AAMDC,505,609,515,412
AAMP,2967,2920,2808,2638
AANAT,10,13,0,9
AAR2,1544,1757,1711,1577
AARD,369,495,553,430
AARS,13277,15012,12802,10650
AARS2,997,1113,1176,954
AARSD1,0,0,0,0
AASDH,282,373,320,295
AASDHPPT,764,1082,967,900
AASS,532,606,614,520
AATBC,53,51,52,66
AATF,1628,2072,1647,1262
AATK,51,31,63,47
ABALON,22,29,7,22
ABAT,225,311,307,243
ABCA1,1935,2137,2068,1739
ABCA10,72,76,58,40
ABCA11P,101,101,93,101
ABCA12,5,3,5,8
ABCA13,11,18,17,13
ABCA17P,25,16,41,18
ABCA2,6355,6173,5193,4483
ABCA3,347,339,357,331
ABCA4,139,158,156,127
ABCA5,639,864,674,549
ABCA6,196,188,106,86
ABCA7,443,466,408,346
ABCA8,156,152,98,128
ABCA9,154,135,124,81
ABCA9-AS1,0,0,0,0
ABCB1,4,4,16,8
ABCB10,1015,1086,814,634
ABCB11,0,3,0,4
ABCB4,244,271,331,224
ABCB5,4,2,0,4
ABCB6,1067,1401,1596,1376
ABCB7,372,451,400,356
ABCB8,1388,1221,1194,1085
ABCB9,340,337,280,285
ABCC1,8536,8572,7957,6576
ABCC10,2525,2675,2490,2081
ABCC11,12,8,6,2
ABCC12,0,0,4,2
ABCC13,0,0,0,4
ABCC2,16,8,14,25
ABCC3,4376,4604,4508,3977
ABCC4,1098,1252,1099,858
ABCC5,1404,1722,1411,1171
ABCC5-AS1,2,0,7,2
ABCC6,114,129,90,82
ABCC6P1,7,27,5,6
ABCC6P2,6,6,11,0
ABCC8,6,10,6,14
ABCC9,99,131,142,95
ABCD1,2052,1885,1988,1723
ABCD2,0,0,0,0
ABCD3,1029,1412,1247,1094
ABCD4,834,904,818,629
ABCE1,1629,2014,1603,1509
ABCF1,3605,4050,3803,3333
ABCF2,2447,2783,2719,2284
ABCF3,2323,2549,2180,1928
ABCG1,4,0,7,10
ABCG2,31,37,22,41
ABCG4,39,74,48,32
ABCG5,4,2,1,2
ABCG8,10,0,7,2
ABHD1,6,9,5,8
ABHD10,452,579,424,384